,Name,Region,File,Emmision Line,Channels,X-pos,Y-pos,X-offset,Y-offset,Literature PA,Eddy PA,Literature Mass [M],Eddy Mass [M], DECO Dict vsys [m/s],Eddy vlsr [m/s],"Eddy rmin, rmax [""]",Literature Distance [Mpc],Literature Inc,Eddy Inc,"Eddy params (nwalkers, nburn, nsteps)",Velocity Mask,Notes,DECO Dict vsys [km/s],Background Velocity Removal
0,Sz68,Lupus,/Users/calebpainter/Downloads/DECO/fits_files/Lupus/Sz68_CO_230.538GHz.image.fits,CO,"(50, 105, 150, 200)",236.303488,-34.29199,0.182,0.41,0.288,165.08,1.32,2.37,,4.98,"(0.2, 2.0)",158.0,34.01,--,"(32, 800, 500)","[0.5, 1.2, 200]",Good Disk,2.6,
1,Sz90,Lupus,/Users/calebpainter/Downloads/DECO/fits_files/Lupus/Sz90_CO_230.538GHz.image.fits,CO,"(10, 180, 10, 180)",241.791868,-39.184402,0.15,0.383,8.837,128.47,0.73,1.27,,4.95,"(0.0, 2.0)",160.37,52.37,--,"(32, 800, 500)","[0.8, 0.4, 135]",Good Disk,5.24,
2,Sz95,Lupus,/Users/calebpainter/Downloads/DECO/fits_files/Lupus/Sz95_CO_230.538GHz.image.fits,CO,"(0, 200, 130, 200)",241.967867,-38.968504,0.24,0.37,92.463,182.78,0.291,1.08,,4.61,"(0.1, 1)",160.47,53.13,--,"(10, 800, 500)",,MCMC GOOD,3.1,
3,Sz96,Lupus,/Users/calebpainter/Downloads/DECO/fits_files/Lupus/Sz96_CO_230.538GHz.image.fits,CO,"(10, 180, 10, 180)",242.05253,-39.142777,0.146,0.378,91.498,27.95,0.463,1.2,,1.24,"(0.05, 1.7)",155.97,48.997,--,"(32, 800, 500)",,Good Disk,4.7,
4,J162738.3-243658,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162738.3-243658_CO_230.538GHz.image.fits,CO,"(120, 180, 120, 180)",246.909617,-24.616443,0.256,-0.612,16.1,110.05,0.65,0.65,,6.6,"(0.02, 1.0)",139.46,69.58,--,"(32, 800, 500)","[0.6, 0.2, -20]",MCMC FAILS,4.2,
5,J162739.0-235818,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162739.0-235818_CO_230.538GHz.image.fits,CO,"(40, 105, 125, 160)",246.9125,-23.97204,0.17,-0.72,11.9,73.38,0.69,--,,2.79,"(0.2, 1.5)",141.55,0,49.57,"(10, 800, 500)",,"MCMC GOOD, had to reforce center",2.3,
6,J162618.9-242820,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162618.9-242820_CO_230.538GHz.image.fits,CO,"(30, 70, 150, 200)",246.578603,-24.472317,-0.32,0.3,29.7,169.01,0.5875,--,,1.98,"(0.2, 1.5)",137.53,0,-49.7,"(10, 800, 500)",,MCMC GOOD,3.3,
7,J162730.2-242743,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162730.2-242743_CO_230.538GHz.image.fits,CO,"(70, 110, 140, 200)",246.875707,-24.462232,-0.25,-0.435,61.0,46.77,0.5975,0.14,,7.36,"(None, None)",139.0,87,--,"(10, 800, 500)",,Fit appears poor due to high inclination of disk,4.8,
8,J162733.1-244115,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162733.1-244115_CO_230.538GHz.image.fits,CO,"(0, 67, 140, 200)",246.887915,-24.687744,0.195,-0.282,--,210.88,0.875,--,,5.71,"(0.1, 0.8)",136.55,--,52.29,"(10, 800, 500)",,Decent Fit,3.6,
9,J162649.0-243825,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162649.0-243825_CO_230.538GHz.image.fits,CO,"(0, 100, 140, 200)",246.70406,-24.640489,-0.237,-0.175,83.4,17.54,0.292,0.01,,1.99,"(0, 0.8)",132.51,22.12,--,"(10, 800, 500)",,"MCMC FAILS, no clear signature of blue/red components",4.7,
10,J162616.8-242223,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162616.8-242223_CO_230.538GHz.image.fits,CO,"(0, 100, 140, 200)",246.570167,-24.373279,0.71,-0.175,--,30.01,0.54,--,,2.0,"(0, 0.8)",137.42,--,19.99,"(10, 800, 500)",,"MCMC FAILS, too many clouds",4.5,
11,J162636.8-241552,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162636.8-241552_CO_230.538GHz.image.fits,CO,"(0, 50, 130, 200)",246.653428,-24.264589,0.438,0.107,61.8,130.51,0.631,1.86,,4.94,"(0, 0.8)",136.59,31.3,--,"(10, 800, 500)",,MCMC GOOD,6.1,
12,J162536.7-241542,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162536.7-241542_CO_230.538GHz.image.fits,CO,"(0, 100, 130, 200)",246.403027,-24.261993,0.48,-0.54,14.2,129.62,0.84,0.54,,4.2,"(None, None)",139.0,74.39,--,"(10, 800, 500)","[0.25, 0.5, 230]","MCMC GOOD, center had to be reset to converge",2.2,
13,J162656.8-241351,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162656.8-241351_CO_230.538GHz.image.fits,CO,"(0, 80, 110, 200)",246.736532,-24.231151,-0.21,-0.56,50.8,165.86,0.62,1.03,,4.93,"(None, None)",136.52,63.64,--,"(10, 800, 500)",,"MCMC GOOD, center had to be reset to converge",2.7,
14,J162624.1-241613,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162624.1-241613_CO_230.538GHz.image.fits,CO,"(0, 70, 130, 200)",246.60032,-24.270566,-0.13,-0.47,7.0,47.29,0.9399,--,,3.1,"(0.05, 1)",139.26,0,45.89,"(10, 800, 500)",,"MCMC GOOD, some clouds",3.4,
15,J162854.1-244744,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162854.1-244744_CO_230.538GHz.image.fits,CO,"(0, 70, 100, 200)",247.225283,-24.795803,-0.27,-0.3,122.3,179.88,0.396,0.56,,4.33,"(None, None)",136.46,49.87,--,"(10, 800, 500)",,MCMC GOOD,4.8,
